entity_name,bf_match_count,bf_first_result_name,bf_entity_number,bf_status,bf_entity_type,bf_formation_date,bf_jurisdiction,bf_agent_name,bf_agent_type,bf_agent_is_individual,bf_agent_address,bf_principal_address,bf_mailing_address,bf_statement_due_date,bf_inactive_date,bf_standing_sos,bf_standing_ftb,bf_standing_agent,bf_standing_vcfcf,bf_agent_address_matches_principal,bf_likely_owner_name,bf_operator_pattern,bf_multi_entity_operator,bf_query_used,bf_query_attempts,bf_name_similarity,bf_score,bf_alternates,bf_fetched_at,bf_error
Golden Gate Grills Inc. (James Khan And Billal Khan),1,GOLDEN GATE GRILLS INC (4273703),4273703,Active,Stock Corporation - CA - General,05/03/2019,CALIFORNIA,JAMES KHAN,Individual,True,"5220 DOLCETTO WAY, SALIDA, CA  95368","5220 DOLCETTO WAY, SALIDA, CA 95368","5220 DOLCETTO WAY, SALIDA,CA95368",05/31/2026,,Good,Good,Good,Good,True,JAMES KHAN,owner_operator,,Golden Gate Grills Inc.,,1.000,,,2026-04-24T12:18:53.728250+00:00,
Canadian Guys Burgers Limited (Joseph Dand And Mike Lipinski),1,CANADIAN GUYS BURGERS LIMITED (4183767),4183767,Active,Stock Corporation - CA - General,08/15/2018,CALIFORNIA,JOSEPH E PELOCHINO,Individual,True,"12800 CENTER COURT DRIVE S, STE 300, CERRITOS, CA  90703","40426 WINCHESTER RD, TEMECULA, CA 92591-5502","40426 WINCHESTER RD, TEMECULA,CA92591-5502",08/31/2025,,Good,Good,Good,Good,False,JOSEPH E PELOCHINO (no addr match),individual_agent_offsite,,Canadian Guys Burgers Limited,,1.000,,,2026-04-24T12:19:27.695919+00:00,
"Mt Food Group, Llc",22,MT&Y ORIENTAL FOOD MARKET (4838032),4838032,Active,Stock Corporation - CA - General,01/22/2022,CALIFORNIA,DEWTIAN  YANG,Individual,True,"615 W MURRAY AVE, VISALIA, CA  93291","615 W. MURRAY AVE, VISALIA, CA 93291","615 W. MURRAY AVE, VISALIA,CA93291",01/31/2023,,Good,Good,Good,Good,True,DEWTIAN  YANG,owner_operator,,mt food,"Mt Food Group, Llc | Mt Food Group | mt food",0.333,141.39,"[{""name"": ""MTAPKL FOOD LLC (202565711783)"", ""num"": ""202565711783"", ""status"": ""Active"", ""score"": 134.17}, {""name"": ""MTC FOODS INC. (4015920)"", ""num"": ""4015920"", ""status"": ""Active"", ""score"": 106.32}, {""name"": ""MTBG FOODS, INC. (3736368)"", ""num"": ""3736368"", ""status"": ""Active"", ""score"": 105.47}, {""name"": ""MTB FOODS INC. (3650047)"", ""num"": ""3650047"", ""status"": ""Active"", ""score"": 105.17}, {""name"": ""MT. VIEW FOOD CENTERS, INC. (353476)"", ""num"": ""353476"", ""status"": ""Suspended - FTB"", ""score"": 44.77}]",2026-04-27T07:23:15.871363+00:00,
"Vitaligent-Norcal, Llc",1,"VITALIGENT - NORCAL, LLC (201511710069)",201511710069,Active,Limited Liability Company - Out of State,04/24/2015,DELAWARE,"NATIONAL REGISTERED AGENTS, INC.",1505 Corporation,False,,"348 E WINCHESTER STREET, MURRAY, UT 84107","348 E WINCHESTER STREET, MURRAY,UT84107",04/30/2027,,Good,Good,Good,Good,,,service_agent,shared_principal_address:2,vitaligent norcal,"Vitaligent-Norcal, Llc | Vitaligent-Norcal | vitaligent norcal",1.000,175.59,,2026-04-27T07:24:13.895485+00:00,
"Quantum Restaurants, Llc",0,,,,,,,,,,,,,,,,,,,,,unknown,,"Quantum Restaurants, Llc","Quantum Restaurants, Llc | Quantum Restaurants",,,,2026-04-27T07:25:06.815578+00:00,
"Gh Food Group Colorado, Llc",13,"GH FOOD MART,INC. (2617193)",2617193,Active,Stock Corporation - CA - General,07/02/2004,CALIFORNIA,TIMOTHY HUBBELL,Individual,True,"1601 F STREET, SUITE 100, BAKERSFIELD, CA  93301","14314 COUNTY LINE RD, DELANO, CA 93215","14314 COUNTY LINE RD, DELANO,CA93215",07/31/2026,,Good,Good,Good,Good,False,TIMOTHY HUBBELL (no addr match),individual_agent_offsite,,gh food,"Gh Food Group Colorado, Llc | Gh Food Group Colorado | gh food colorado | gh food",0.400,141.64,"[{""name"": ""GH FAMILY FOODS LLC (202463417569)"", ""num"": ""202463417569"", ""status"": ""Active"", ""score"": 125.66}, {""name"": ""GHETTO KITCHEN SOUL FOOD LLC (202565415277)"", ""num"": ""202565415277"", ""status"": ""Active"", ""score"": 123.44}, {""name"": ""GHETTO GRUB SOUL FOOD L.L.C. (202464810691)"", ""num"": ""202464810691"", ""status"": ""Active"", ""score"": 123.39}, {""name"": ""GH FOODS CA, LLC (200734610085)"", ""num"": ""200734610085"", ""status"": ""Active"", ""score"": 119.57}, {""name"": ""Ghost Town Foods, LLC (202462612633)"", ""num"": ""202462612633"", ""status"": ""Active"", ""score"": 108.93}]",2026-04-27T07:25:55.790464+00:00,
Hut Rocky Mountain Llc,0,,,,,,,,,,,,,,,,,,,,,unknown,,Hut Rocky Mountain Llc,Hut Rocky Mountain Llc | Hut Rocky Mountain | hut rocky,,,,2026-04-27T07:27:12.139600+00:00,
Jsc New England Operating Llc,1,NEWLAND INVESTMENT DEVELOPMENT JSC (4174542),4174542,Suspended - FTB/SOS,Stock Corporation - CA - General,07/20/2018,CALIFORNIA,TOT  LA,Individual,True,"105 BRIAR ROSE, IRVINE, CA  92618","105 BRIAR ROSE, IRVINE, CA 92618","105 BRIAR ROSE, IRVINE,CA92618",07/31/2020,07/27/2021,Not Good,Not Good,Good,Good,True,TOT  LA,owner_operator,,jsc new,Jsc New England Operating Llc | Jsc New England Operating | jsc new england | jsc new,0.143,41.06,,2026-04-27T07:28:22.895388+00:00,
"Se Co-Brand Ventures, Llc",229,Selani Brand LLC (202464417919),202464417919,Active,Limited Liability Company - CA,11/04/2024,CALIFORNIA,ZENBUSINESS INC.,1505 Corporation,False,,"150 10TH STREET, 9, HERMOSA BEACH, CA 90254","150 10TH STREET, 9, HERMOSA BEACH,CA90254",11/30/2026,,Good,Good,Good,Good,,,service_agent,,se brand,"Se Co-Brand Ventures, Llc | Se Co-Brand Ventures | se brand",0.250,134.07,"[{""name"": ""SE7EN BRAND (5985948)"", ""num"": ""5985948"", ""status"": ""Active"", ""score"": 133.72}, {""name"": ""Self Brand LLC (202356816738)"", ""num"": ""202356816738"", ""status"": ""Active"", ""score"": 133.52}, {""name"": ""Seekrs Brand LLC (202252018546)"", ""num"": ""202252018546"", ""status"": ""Active"", ""score"": 133.27}, {""name"": ""BRAND SEEN LLC (202029010220)"", ""num"": ""202029010220"", ""status"": ""Active"", ""score"": 132.59}, {""name"": ""SeeK Market & Brand LLC (202463713001)"", ""num"": ""202463713001"", ""status"": ""Active"", ""score"": 129.01}]",2026-04-27T07:29:39.331791+00:00,
"Vitaligent-East Bay, Llc",1,"VITALIGENT - EAST BAY, LLC (201511710058)",201511710058,Active,Limited Liability Company - Out of State,04/24/2015,DELAWARE,"NATIONAL REGISTERED AGENTS, INC.",1505 Corporation,False,,"348 E WINCHESTER STREET, MURRAY, UT 84107","348 E WINCHESTER STREET, MURRAY,UT84107",04/30/2027,,Good,Good,Good,Good,,,service_agent,shared_principal_address:2,vitaligent east bay,"Vitaligent-East Bay, Llc | Vitaligent-East Bay | vitaligent east bay",1.000,175.59,,2026-04-27T07:30:34.446550+00:00,
