brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
KFC,"West Quality Food Service, Inc.",289 East Side Drive,Newton,MS,39345,601/649-2522
KFC,"West Quality Food Service, Inc.",7301 Hacks Cross Road,Olive Branch,MS,38654,601/649-2522
KFC,"West Quality Food Service, Inc.",3957 Denny Avenue,Pascagoula,MS,39581,601/649-2522
KFC,"West Quality Food Service, Inc.",229 West Beacon Street,Philadelphia,MS,39350,601/649-2522
KFC,"West Quality Food Service, Inc.",321 Highway 15 North,Pontotoc,MS,38863,601/649-2522
KFC,"Franchise Management Investors Us, Llc",1068 County Line Road,Ridgeland,MS,39157,506/323-1878
KFC,"West Quality Food Service, Inc.",497 City Avenue,Ripley,MS,38663,601/649-2522
KFC,Michael J. Broussard And Stephen B. Broussard,"127A Highway 12, West",Starkville,MS,39759,662/323-1944
KFC,"Tasty Chick'N Southeast, Llc",2602 West Main Street,Tupelo,MS,38801,310/943-4997
KFC,"Tasty Chick'N Southeast, Llc",508 North Gloster Street,Tupelo,MS,38804,310/943-4997
KFC,"Hannon'S Food Service Of Vicksburg, Inc.",2730 South Frontage Road,Vicksburg,MS,39180,601/638-2115
KFC,"Hannon'S Food Service Of Vicksburg, Inc.",2915 Clay Street,Vicksburg,MS,39183,601/638-2115
KFC,"West Quality Food Service, Inc.",700 1/2 Mississippi Drive,Waynesboro,MS,39367,601/649-2522
KFC,"Franchise Management Investors Us, Llc",1703 N. Jerry Clower Boulevard,Yazoo City,MS,39194,506/323-1878
KFC,"Braydon Enterprises, Inc.",1550 North 19th,Bozeman,MT,59715,406/587-0716
KFC,"Argonaut Food Partners, Llc",3099 Harrison Avenue,Butte,MT,59701,541/273-4639
KFC,"Argonaut Food Partners, Llc",317 Central Ave W,Great Falls,MT,59404,541/273-4639
KFC,"Argonaut Food Partners, Llc",1345 N 1st St,Hamilton,MT,59840,541/273-4639
KFC,"Argonaut Food Partners, Llc",60 North Main,Kalispell,MT,59901,541/273-4639
KFC,"Argonaut Food Partners, Llc",3306 Brooks Street,Missoula,MT,59801,541/273-4639
KFC,"C & M Fast Food, L.L.C.",1 Commercial Way,Whitehall,MT,59759,406/491-9988
KFC,"Fqsr, Llc (Dba Kbp Foods)",1704 N. Sandhills Blvd.,Aberdeen,NC,28315,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",1500-10 E. Memorial Drive,Ahoskie,NC,27910,913/428-3636
KFC,"Fulenwider Enterprises, Inc.",646 Highway 24/27,Albemarle,NC,28001,786/845-6402
KFC,"Fqsr, Llc (Dba Kbp Foods)",1403 West Williams Blvd,Apex,NC,27523,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",601 E. Dixie Drive,Asheboro,NC,27203,913/428-3636
KFC,"Jrn, Inc.",1030 Patton Avenue,Asheville,NC,28806,931/490-4765
KFC,"Jrn, Inc.","800 Fairview Road, River Ridge Market Place",Asheville,NC,28803,931/490-4765
KFC,"Fqsr, Llc (Dba Kbp Foods)",6813 E. Wilkinson Boulevard,Belmont,NC,28012,913/428-3636
KFC,"Luihn Vantedge Partners, Llc",12340 State Highway 210,Benson,NC,27504,919/850-0558
KFC,"Fqsr, Llc (Dba Kbp Foods)",219 South Main St.,Boiling Springs,NC,28017,913/428-3636
KFC,"Fulenwider Enterprises, Inc.",1668 Blowing Rock Road,Boone,NC,28607,786/845-6402
KFC,"Paris & Potter Management Of Eastern Carolina, Llc","502 State Highway 53, E.",Burgaw,NC,28425,910/323-2211
KFC,"Fqsr, Llc (Dba Kbp Foods)",1820 N. Church Street,Burlington,NC,27217,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",2304 Maple Avenue,Burlington,NC,27215,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",665 Huffman Mill Road,Burlington,NC,27215,913/428-3636
KFC,Paris & Potter Management Corporation,895 NC Highway 24-87,Cameron,NC,28326,910/323-2211
KFC,"Fulenwider Enterprises, Inc.",24 New Clyde Highway,Canton,NC,28716,786/845-6402
KFC,"Luihn Vantedge Partners, Llc",1011 N Harrison Ave,Cary,NC,27513,919/850-0558
KFC,"Phoenix Taco, L.L.C.",1045 W Sugar Creek Road,Charlotte,NC,28213,786/845-6402
KFC,"Phoenix Taco, L.L.C.",1101 N Wendover Rd,Charlotte,NC,28211,786/845-6402
KFC,"Phoenix Taco, L.L.C.",2639 Freedom Drive,Charlotte,NC,28208,786/845-6402
KFC,"Phoenix Taco, L.L.C.",5032 Sunset Rd,Charlotte,NC,28269,786/845-6402
KFC,"Phoenix Taco, L.L.C.",5540 University Pointe Blvd,Charlotte,NC,28262,786/845-6402
KFC,"Phoenix Taco, L.L.C.",6320 West Sugar Creek Road,Charlotte,NC,28269,786/845-6402
KFC,"Phoenix Taco, L.L.C.",6424 Albemarle Rd,Charlotte,NC,28212,786/845-6402
KFC,"Phoenix Taco, L.L.C.",9010 South Tryon Street,Charlotte,NC,28273,786/845-6402
KFC,"Fulenwider Enterprises, Inc.",1101 East Church Street,Cherryville,NC,28021,786/845-6402
KFC,"Fqsr, Llc (Dba Kbp Foods)",2390 Lewisville Clemmons Rd,Clemmons,NC,27012,913/428-3636
KFC,Paris & Potter Management Corporation,1112 Sunset Avenue,Clinton,NC,28328,910/323-2211
KFC,"Jrn, Inc.","258 Concord Parkway, So.",Concord,NC,28027,931/490-4765
KFC,"Jrn, Inc.",7751 Gateway Lane,Concord,NC,28027,931/490-4765
KFC,"Fqsr, Llc (Dba Kbp Foods)",1003 Dallas-Cherryville Highway,Dallas,NC,28034,913/428-3636
KFC,"Fulenwider Enterprises, Inc.",6159 Hwy 16 South,Denver,NC,28037,786/845-6402
KFC,Paris & Potter Management Corporation,1192 W. Broad Street,Dunn,NC,28334,910/323-2211
KFC,"Luihn Vantedge Partners, Llc",1110 W. NC 54,Durham,NC,27707,919/850-0558
KFC,"Fqsr, Llc (Dba Kbp Foods)",1804 South Miami Blvd.,Durham,NC,27703,913/428-3636
KFC,"Luihn Vantedge Partners, Llc",3570 Hillsborough Rd,Durham,NC,27705,919/850-0558
KFC,"Fqsr, Llc (Dba Kbp Foods)",511 Horton Rd.,Durham,NC,27704,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",806 Fayetteville Street,Durham,NC,27701,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",123 N. Van Buren Road,Eden,NC,27288,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",116 Hughes Boulevard,Elizabeth City,NC,27909,913/428-3636
KFC,"Fqsr, Llc (Dba Kbp Foods)",301 S. Poplar Street,Elizabethtown,NC,28337,913/428-3636
KFC,"Acedeuce 2, Llc",1485 N. Bridge Street,Elkin,NC,28621,786/845-6402
KFC,Paris & Potter Management Corporation,1207 Bragg Boulevard,Fayetteville,NC,28301,910/323-2211
KFC,Paris & Potter Management Corporation,2500 Hope Mills Road,Fayetteville,NC,28306,910/323-2211
KFC,Paris & Potter Management Corporation,2849 Owen Drive,Fayetteville,NC,28306,910/323-2211
KFC,Paris & Potter Management Corporation,3613 Ramsey Street,Fayetteville,NC,28311,910/323-2211
