brand,franchisee_name,raw_address,city,state,zip,restaurant_phone
Pizza Hut,Ato Foods Llc,"1716 S 4th St., Ste. 6",Nashville,AR,71852,870/451-9137
Pizza Hut,"Heartland Pizza, L.L.C.",305 Highway 367 North,Newport,AR,72112,870/523-8961
Pizza Hut,Hut Little Rock Llc,4438 Camp Robinson Rd,North Little Rock,AR,72118,501/771-9259
Pizza Hut,Hut Little Rock Llc,1512 W Commercial Street,Ozark,AR,72949,479/667-4741
Pizza Hut,"Arkansas Pizza, Inc.","2711 W. Kings Highway, Ste. 18",Paragould,AR,72450,870/240-0065
Pizza Hut,Hut Ozark Llc,"150 South Curtis, A",Pea Ridge,AR,72751,479/451-8175
Pizza Hut,Hut Little Rock Llc,2711 S Hazel St,Pine Bluff,AR,71603,870/535-2089
Pizza Hut,Ato Foods Llc,114 E. First St. #518,Prescott,AR,71857,870/887-2678
Pizza Hut,Hut Ozark Llc,"1717 W. Walnut St., #A",Rogers,AR,72756,479/246-0009
Pizza Hut,"Heartland Pizza, L.L.C.",502 North Arkansas Avenue,Russellville,AR,72801,479/890-5555
Pizza Hut,"Heartland Pizza, L.L.C.",906 E. Beebe Capps Expwy.,Searcy,AR,72143,501/268-4277
Pizza Hut,Hut Little Rock Llc,1310 S. Rock St.,Sheridan,AR,72150,870/942-1050
Pizza Hut,Hut Little Rock Llc,"8611 Hwy. 107, #110",Sherwood,AR,72120,501/834-3886
Pizza Hut,Hut Ozark Llc,"1772 W. Sunset, #2-A",Springdale,AR,72762,479/751-7700
Pizza Hut,Hut Ozark Llc,2921 S. Old Missouri Road,Springdale,AR,72764,479/756-2228
Pizza Hut,Hut Little Rock Llc,210A W 22nd St,Stuttgart,AR,72160,870/673-1521
Pizza Hut,Ato Foods Llc,3704 N State Line Avenue,Texarkana,AR,71854,870/773-5466
Pizza Hut,Hut Memphis Llc,1214 Speedway,Trumann,AR,72472,870/483-0056
Pizza Hut,Hut Ozark Llc,1514 Fayetteville Rd Ste E,Van Buren,AR,72956,479/474-4200
Pizza Hut,Hut Little Rock Llc,"1163 Main Street, Suite 101",Vilonia,AR,72173,501/441-1455
Pizza Hut,"Arkansas Pizza, Inc.",555 Frankie Matthew Dr,Waldron,AR,72958,479/637-4100
Pizza Hut,Hut Memphis Llc,2811 Hwy 67 North,Walnut Ridge,AR,72476,870/886-6758
